id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2868843,"The ""Grey-Eyed Morne"" Passage in Romeo and Juliet",Shakespeare Quarterly,1970,,article,jstor,1970-04-01,2,21,http://www.jstor.org/stable/2868843,Barry J. Gaines,Folger Shakespeare Library,eng,196,198,,1109,3,unigram; bigram; trigram
http://www.jstor.org/stable/2869433,"Productions, Staging and Stage History, Festivals, Theatrical Techniques, Television, Radio, Readings, Recordings",Shakespeare Quarterly,1977,,article,jstor,1977-10-01,4,28,http://www.jstor.org/stable/2869433,Harrison T. Meserole,Folger Shakespeare Library,eng,424,443,,13318,20,unigram; bigram; trigram
http://www.jstor.org/stable/2870516,Review Article,Shakespeare Quarterly,1987,,article,jstor,1987-10-01,3,38,http://www.jstor.org/stable/2870516,Larry S. Champion,Folger Shakespeare Library,eng,379,381,,1186,3,unigram; bigram; trigram
http://www.jstor.org/stable/2870841,Back Matter,Shakespeare Quarterly,1989,,article,jstor,1989-07-01,2,40,http://www.jstor.org/stable/2870841,,Folger Shakespeare Library,eng,255,256,,1172,3,unigram; bigram; trigram
http://www.jstor.org/stable/2870629,On the Dating of Shakespeare's Early Plays,Shakespeare Quarterly,1988,,article,jstor,1988-07-01,2,39,http://www.jstor.org/stable/2870629,Sidney Thomas,Folger Shakespeare Library,eng,187,194,,4338,8,unigram; bigram; trigram
http://www.jstor.org/stable/2870417,"King John, The Troublesome Reigne, and ""documentary links"": A Rejoinder",Shakespeare Quarterly,1987,,article,jstor,1987-04-01,1,38,http://www.jstor.org/stable/2870417,E.A.J. Honigmann,Folger Shakespeare Library,eng,124,126,,2016,3,unigram; bigram; trigram
http://www.jstor.org/stable/2868629,Review Article,Shakespeare Quarterly,1973,,article,jstor,1973-10-01,4,24,http://www.jstor.org/stable/2868629,K. B. Michael,Folger Shakespeare Library,eng,476,478,,805,3,unigram; bigram; trigram
http://www.jstor.org/stable/2902321,Modernizing Shakespeare: Nicholas Rowe and The Tempest,Shakespeare Quarterly,2000,,article,jstor,2000-04-01,1,51,http://www.jstor.org/stable/2902321,Peter Holland,Folger Shakespeare Library,eng,24,32,,4338,9,unigram; bigram; trigram
http://www.jstor.org/stable/4123493,"The Body of the Actor in ""Coriolanus""",Shakespeare Quarterly,2006,,article,jstor,2006-12-01,4,57,http://www.jstor.org/stable/4123493,Eve Rachele Sanders,Folger Shakespeare Library,eng,387,412,,11856,26,unigram; bigram; trigram
http://www.jstor.org/stable/2902129,Deaths in the Family: The Loss of a Son and the Rise of Shakespearean Comedy,Shakespeare Quarterly,2000,,article,jstor,2000-07-01,2,51,http://www.jstor.org/stable/2902129,Richard P. Wheeler,Folger Shakespeare Library,eng,127,153,,13326,27,unigram; bigram; trigram
http://www.jstor.org/stable/2867847,Review Article,Shakespeare Quarterly,1968,,article,jstor,1968-01-01,1,19,http://www.jstor.org/stable/2867847,Thomas A. Kirby,Folger Shakespeare Library,eng,86,87,,755,2,unigram; bigram; trigram
http://www.jstor.org/stable/2869841,Ilinois Shakespeare Festival,Shakespeare Quarterly,1983,,article,jstor,1983-07-01,,2,http://www.jstor.org/stable/2869841,Richard P. Wheeler,Folger Shakespeare Library,eng,225,227,,2013,3,unigram; bigram; trigram
http://www.jstor.org/stable/41819764,Front Matter,Shakespeare Quarterly,2012,,article,jstor,2012-12-01,4,63,http://www.jstor.org/stable/41819764,,Folger Shakespeare Library,eng,,,,672,4,unigram; bigram; trigram
http://www.jstor.org/stable/2866429,Reply to James W. Andrews,Shakespeare Quarterly,1950,,article,jstor,1950-07-01,3,1,http://www.jstor.org/stable/2866429,Henry W. Wells,Folger Shakespeare Library,eng,189,190,,742,2,unigram; bigram; trigram
http://www.jstor.org/stable/41350175,Review Article,Shakespeare Quarterly,2012,,article,jstor,2012-04-01,1,63,http://www.jstor.org/stable/41350175,Margaret Mikesell,Folger Shakespeare Library,eng,126,130,,1794,5,unigram; bigram; trigram
